dataset	dist_bin	dist_to_tss	type	direct_rate
Klann2021	(4.5e+05,5e+05]	475506.0565445026	direct_rate_negative	3.307880406246644e-4
Klann2021	(4.5e+05,5e+05]	475506.0565445026	direct_rate_positive	6.377876312918767e-4
Klann2021	(5e+05,5.5e+05]	525202.0200200201	direct_rate_all	0
Klann2021	(5e+05,5.5e+05]	525202.0200200201	direct_rate_negative	0
Klann2021	(5e+05,5.5e+05]	525202.0200200201	direct_rate_positive	5.916682134447166e-4
Klann2021	(5.5e+05,6e+05]	575251.1324921135	direct_rate_all	0
Klann2021	(5.5e+05,6e+05]	575251.1324921135	direct_rate_negative	0
Klann2021	(5.5e+05,6e+05]	575251.1324921135	direct_rate_positive	6.421919232744166e-4
Klann2021	(6e+05,6.5e+05]	624877.1801980198	direct_rate_all	0
Klann2021	(6e+05,6.5e+05]	624877.1801980198	direct_rate_negative	2.737666316774942e-4
Klann2021	(6e+05,6.5e+05]	624877.1801980198	direct_rate_positive	0
Klann2021	(6.5e+05,7e+05]	673953.2145748988	direct_rate_all	0.0019107720811837902
Klann2021	(6.5e+05,7e+05]	673953.2145748988	direct_rate_negative	0.0013079591197522043
Klann2021	(6.5e+05,7e+05]	673953.2145748988	direct_rate_positive	6.028129614315666e-4
Klann2021	(7e+05,7.5e+05]	724247.937694704	direct_rate_all	0
Klann2021	(7e+05,7.5e+05]	724247.937694704	direct_rate_negative	0
Klann2021	(7e+05,7.5e+05]	724247.937694704	direct_rate_positive	0
Klann2021	(7.5e+05,8e+05]	775700.1019313305	direct_rate_all	0
Klann2021	(7.5e+05,8e+05]	775700.1019313305	direct_rate_negative	0
Klann2021	(7.5e+05,8e+05]	775700.1019313305	direct_rate_positive	0
Klann2021	(8e+05,8.5e+05]	825331.8232104122	direct_rate_all	0
Klann2021	(8e+05,8.5e+05]	825331.8232104122	direct_rate_negative	0
Klann2021	(8e+05,8.5e+05]	825331.8232104122	direct_rate_positive	0
Klann2021	(8.5e+05,9e+05]	874095.2015167931	direct_rate_all	0
Klann2021	(8.5e+05,9e+05]	874095.2015167931	direct_rate_negative	0
Klann2021	(8.5e+05,9e+05]	874095.2015167931	direct_rate_positive	6.740908310785966e-4
Klann2021	(9e+05,9.5e+05]	924756.9727074236	direct_rate_all	0
Klann2021	(9e+05,9.5e+05]	924756.9727074236	direct_rate_negative	3.753706785450543e-4
Klann2021	(9e+05,9.5e+05]	924756.9727074236	direct_rate_positive	0
Klann2021	(9.5e+05,1e+06]	975545.849484536	direct_rate_all	0
Klann2021	(9.5e+05,1e+06]	975545.849484536	direct_rate_negative	3.1459545682804423e-4
Klann2021	(9.5e+05,1e+06]	975545.849484536	direct_rate_positive	0
Xie2019	[0,5e+04]	26904.736434108527	direct_rate_all	0.16123063527192252
Xie2019	[0,5e+04]	26904.736434108527	direct_rate_negative	0.16201066647317056
Xie2019	[0,5e+04]	26904.736434108527	direct_rate_positive	0
Xie2019	(5e+04,1e+05]	74760.17054263566	direct_rate_all	0.02944768953548839
Xie2019	(5e+04,1e+05]	74760.17054263566	direct_rate_negative	0.03022772073673644
Xie2019	(5e+04,1e+05]	74760.17054263566	direct_rate_positive	0
Xie2019	(1e+05,1.5e+05]	123811.04743083005	direct_rate_all	0.030060490957187692
Xie2019	(1e+05,1.5e+05]	123811.04743083005	direct_rate_negative	0.030840522158435742
Xie2019	(1e+05,1.5e+05]	123811.04743083005	direct_rate_positive	0
Xie2019	(1.5e+05,2e+05]	177090.61764705885	direct_rate_all	0.02785170230338625
Xie2019	(1.5e+05,2e+05]	177090.61764705885	direct_rate_negative	0.02022837216009649
Xie2019	(1.5e+05,2e+05]	177090.61764705885	direct_rate_positive	0.00762333014328976
Xie2019	(2e+05,2.5e+05]	225108.62916666668	direct_rate_all	0
Xie2019	(2e+05,2.5e+05]	225108.62916666668	direct_rate_negative	0
Xie2019	(2e+05,2.5e+05]	225108.62916666668	direct_rate_positive	0
Xie2019	(2.5e+05,3e+05]	275365.33766233764	direct_rate_all	0
Xie2019	(2.5e+05,3e+05]	275365.33766233764	direct_rate_negative	0
Xie2019	(2.5e+05,3e+05]	275365.33766233764	direct_rate_positive	0
Xie2019	(3e+05,3.5e+05]	324600.8793103448	direct_rate_all	0.00706062725267631
Xie2019	(3e+05,3.5e+05]	324600.8793103448	direct_rate_negative	0.00784065845392436
