cell_type	gene	expressed
K562	TMEM39B	TRUE
K562	KPNA6	TRUE
K562	TXLNA	TRUE
K562	CCDC28B	TRUE
K562	IQCC	TRUE
K562	DCDC2B	TRUE
K562	EIF3I	TRUE
K562	TMEM234	TRUE
K562	FAM167B	TRUE
K562	HDAC1	TRUE
K562	MARCKSL1	TRUE
K562	BSDC1	TRUE
K562	ZBTB8OS	TRUE
K562	RBBP4	TRUE
K562	SYNC	TRUE
K562	KIAA1522	TRUE
K562	YARS	TRUE
K562	S100PBP	TRUE
K562	HPCA	TRUE
K562	TMEM54	TRUE
K562	RNF19B	TRUE
K562	AK2	TRUE
K562	AZIN2	TRUE
K562	TRIM62	TRUE
K562	ZNF362	TRUE
K562	PHC2	TRUE
K562	ZSCAN20	TRUE
K562	GJB5	TRUE
K562	GJB3	TRUE
K562	GJA4	TRUE
K562	SMIM12	TRUE
K562	TMEM35B	TRUE
K562	ZMYM6	TRUE
K562	ZMYM1	TRUE
K562	SFPQ	TRUE
K562	ZMYM4	TRUE
K562	KIAA0319L	TRUE
K562	NCDN	TRUE
K562	PSMB2	TRUE
K562	C1orf216	TRUE
K562	CLSPN	TRUE
K562	AGO4	TRUE
K562	AGO1	TRUE
K562	AGO3	TRUE
K562	ADPRHL2	TRUE
K562	TRAPPC3	TRUE
K562	MAP7D1	TRUE
K562	THRAP3	TRUE
K562	SH3D21	TRUE
K562	EVA1B	TRUE
K562	STK40	TRUE
K562	LSM10	TRUE
K562	OSCP1	TRUE
K562	MRPS15	TRUE
K562	CSF3R	TRUE
K562	ZC3H12A	TRUE
K562	MEAF6	TRUE
K562	SNIP1	TRUE
K562	DNALI1	TRUE
K562	GNL2	TRUE
K562	C1orf109	TRUE
K562	CDCA8	TRUE
K562	MANEAL	TRUE
K562	C1orf122	TRUE
K562	YRDC	TRUE
K562	MTF1	TRUE
K562	INPP5B	TRUE
K562	SF3A3	TRUE
K562	FHL3	TRUE
K562	UTP11	TRUE
K562	POU3F1	TRUE
K562	LINC01343	TRUE
K562	RRAGC	TRUE
K562	MYCBP	TRUE
K562	GJA9-MYCBP	TRUE
K562	GJA9	TRUE
K562	RHBDL2	TRUE
K562	AKIRIN1	TRUE
K562	NDUFS5	TRUE
K562	MACF1	TRUE
K562	KIAA0754	TRUE
K562	BMP8A	TRUE
K562	PABPC4	TRUE
K562	HEYL	TRUE
K562	NT5C1A	TRUE
K562	HPCAL4	TRUE
K562	PPIE	TRUE
K562	BMP8B	TRUE
K562	TRIT1	TRUE
K562	MYCL	TRUE
K562	MFSD2A	TRUE
K562	CAP1	TRUE
K562	PPT1	TRUE
K562	RLF	TRUE
K562	TMCO2	TRUE
K562	ZMPSTE24	TRUE
K562	SMAP2	TRUE
K562	ZFP69B	TRUE
K562	ZFP69	TRUE
K562	EXO5	TRUE
K562	ZNF684	TRUE
K562	RIMS3	TRUE
K562	NFYC	TRUE
K562	KCNQ4	TRUE
K562	CITED4	TRUE
K562	CTPS1	TRUE
K562	SLFNL1	TRUE
K562	SCMH1	TRUE
K562	FOXO6	TRUE
K562	HIVEP3	TRUE
K562	GUCA2A	TRUE
