type	dataset	dist_bin	total_pairs	significant_pairs	negative_pairs	positive_pairs	positive_rate_significant	positive_rate_negative	positive_rate_positive	mean_dist
heldout	WTC11_DC_TAPseq	(1.15e+06,1.2e+06]	109	0	0	0	0	0	0	1176611.6513761468
heldout	WTC11_DC_TAPseq	(1.2e+06,1.25e+06]	87	1	0	1	0.01149425287356321	0	0.01149425287356321	1223771.7471264368
heldout	WTC11_DC_TAPseq	(1.25e+06,1.3e+06]	60	0	0	0	0	0	0	1271391.4333333331
heldout	WTC11_DC_TAPseq	(1.3e+06,1.35e+06]	72	0	0	0	0	0	0	1326653.9583333333
heldout	WTC11_DC_TAPseq	(1.35e+06,1.4e+06]	80	1	0	1	0.0125	0	0.0125	1376915.025
heldout	WTC11_DC_TAPseq	(1.4e+06,1.45e+06]	76	1	1	0	0.0131578947368421	0.0131578947368421	0	1424361.5263157894
heldout	WTC11_DC_TAPseq	(1.45e+06,1.5e+06]	52	0	0	0	0	0	0	1473090.75
heldout	WTC11_DC_TAPseq	(1.5e+06,1.55e+06]	37	1	1	0	0.02702702702702703	0.02702702702702703	0	1527490.972972973
heldout	WTC11_DC_TAPseq	(1.55e+06,1.6e+06]	45	0	0	0	0	0	0	1575788.088888889
heldout	WTC11_DC_TAPseq	(1.6e+06,1.65e+06]	48	0	0	0	0	0	0	1622767.5625
heldout	WTC11_DC_TAPseq	(1.65e+06,1.7e+06]	49	0	0	0	0	0	0	1676567.612244898
heldout	WTC11_DC_TAPseq	(1.7e+06,1.75e+06]	50	0	0	0	0	0	0	1720909.26
heldout	WTC11_DC_TAPseq	(1.75e+06,1.8e+06]	39	2	0	2	0.05128205128205128	0	0.05128205128205128	1776117.1794871795
heldout	WTC11_DC_TAPseq	(1.8e+06,1.85e+06]	42	0	0	0	0	0	0	1821179.238095238
heldout	WTC11_DC_TAPseq	(1.85e+06,1.9e+06]	32	0	0	0	0	0	0	1871607.28125
heldout	WTC11_DC_TAPseq	(1.9e+06,1.95e+06]	28	0	0	0	0	0	0	1926177.6785714289
heldout	WTC11_DC_TAPseq	(1.95e+06,2e+06]	14	0	0	0	0	0	0	1974411.2857142857
heldout	Klann2021	[0,5e+04]	864	15	14	1	0.01736111111111111	0.0162037037037037	0.0011574074074074	27732.81712962963
heldout	Klann2021	(5e+04,1e+05]	1056	8	8	0	0.00757575757575757	0.00757575757575757	0	74980.28693181818
heldout	Klann2021	(1e+05,1.5e+05]	1134	6	6	0	0.00529100529100529	0.00529100529100529	0	124255.34656084656
heldout	Klann2021	(1.5e+05,2e+05]	1142	5	2	3	0.00437828371278458	0.00175131348511383	0.00262697022767075	174321.3765323993
heldout	Klann2021	(2e+05,2.5e+05]	1222	3	3	0	0.00245499181669394	0.00245499181669394	0	224765.6031096563
heldout	Klann2021	(2.5e+05,3e+05]	1102	2	1	1	0.00181488203266787	9.074410163339384e-4	9.074410163339384e-4	275121.96914700547
heldout	Klann2021	(3e+05,3.5e+05]	1009	1	0	1	9.910802775024777e-4	0	9.910802775024777e-4	326005.87115956395
heldout	Klann2021	(3.5e+05,4e+05]	1036	0	0	0	0	0	0	374676.84266409266
heldout	Klann2021	(4e+05,4.5e+05]	1045	2	1	1	0.00191387559808612	9.569377990430622e-4	9.569377990430622e-4	425244.9885167464
heldout	Klann2021	(4.5e+05,5e+05]	955	2	1	1	0.00209424083769633	0.00104712041884816	0.00104712041884816	475506.0565445026
heldout	Klann2021	(5e+05,5.5e+05]	999	1	0	1	0.001001001001001	0	0.001001001001001	525202.0200200201
heldout	Klann2021	(5.5e+05,6e+05]	951	1	0	1	0.0010515247108307	0	0.0010515247108307	575251.1324921135
heldout	Klann2021	(6e+05,6.5e+05]	1010	1	1	0	9.9009900990099e-4	9.9009900990099e-4	0	624877.1801980198
heldout	Klann2021	(6.5e+05,7e+05]	988	3	2	1	0.00303643724696356	0.0020242914979757	0.00101214574898785	673953.2145748988
heldout	Klann2021	(7e+05,7.5e+05]	963	0	0	0	0	0	0	724247.937694704
heldout	Klann2021	(7.5e+05,8e+05]	932	0	0	0	0	0	0	775700.1019313305
heldout	Klann2021	(8e+05,8.5e+05]	922	0	0	0	0	0	0	825331.8232104122
heldout	Klann2021	(8.5e+05,9e+05]	923	1	0	1	0.00108342361863488	0	0.00108342361863488	874095.2015167931
heldout	Klann2021	(9e+05,9.5e+05]	916	1	1	0	0.00109170305676855	0.00109170305676855	0	924756.9727074236
heldout	Klann2021	(9.5e+05,1e+06]	970	1	1	0	0.00103092783505154	0.00103092783505154	0	975545.849484536
heldout	Xie2019	[0,5e+04]	258	42	42	0	0.16279069767441862	0.16279069767441862	0	26904.736434108527
heldout	Xie2019	(5e+04,1e+05]	258	8	8	0	0.03100775193798449	0.03100775193798449	0	74760.17054263566
