2025-08-12 18:30:19.235804	https://www.encodeproject.org/report/?type=Annotation&annotation_type=element+gene+regulatory+interaction+predictions&software_used.software.name=distal-regulation-encode_re2g&status=released&field=%40id&field=accession&field=aliases&field=experimental_input&limit=all
ID	Accession	Aliases	Experimental input
/annotations/ENCSR481NBP/	ENCSR481NBP	jesse-engreitz:abc_predictions_natural_killer_cell_ENCSR723JLG_DNaseOnly,jesse-engreitz:encode_re2g_predictions_natural_killer_cell_ENCSR723JLG_DNaseOnly	/experiments/ENCSR723JLG/
/annotations/ENCSR430MBO/	ENCSR430MBO	jesse-engreitz:abc_predictions_head_of_caudate_nucleus_ENCSR101HFF_DNaseOnly,jesse-engreitz:encode_re2g_predictions_head_of_caudate_nucleus_ENCSR101HFF_DNaseOnly	/experiments/ENCSR101HFF/
/annotations/ENCSR243VLI/	ENCSR243VLI	jesse-engreitz:abc_predictions_heart_ENCSR064GBK_DNaseOnly,jesse-engreitz:encode_re2g_predictions_heart_ENCSR064GBK_DNaseOnly	/experiments/ENCSR064GBK/
/annotations/ENCSR130KUS/	ENCSR130KUS	jesse-engreitz:abc_predictions_T-helper_22_cell_ENCSR944GPH_DNaseOnly,jesse-engreitz:encode_re2g_predictions_T-helper_22_cell_ENCSR944GPH_DNaseOnly	/experiments/ENCSR944GPH/
/annotations/ENCSR613YKL/	ENCSR613YKL	jesse-engreitz:abc_predictions_muscle_of_back_ENCSR072NBR_DNaseOnly,jesse-engreitz:encode_re2g_predictions_muscle_of_back_ENCSR072NBR_DNaseOnly	/experiments/ENCSR072NBR/
/annotations/ENCSR660RCL/	ENCSR660RCL	jesse-engreitz:abc_predictions_MCF_10A_ENCSR789VGQ_DNaseOnly,jesse-engreitz:encode_re2g_predictions_MCF_10A_ENCSR789VGQ_DNaseOnly	/experiments/ENCSR789VGQ/
/annotations/ENCSR853VWL/	ENCSR853VWL	jesse-engreitz:abc_predictions_stimulated_activated_CD8-positive__alpha-beta_memory_T_cell_ENCSR502GWQ_DNaseOnly,jesse-engreitz:encode_re2g_predictions_stimulated_activated_CD8-positive__alpha-beta_memory_T_cell_ENCSR502GWQ_DNaseOnly	/experiments/ENCSR502GWQ/
/annotations/ENCSR581YJB/	ENCSR581YJB	jesse-engreitz:abc_predictions_common_myeloid_progenitor__CD34-positive_ENCSR281HBB_DNaseOnly,jesse-engreitz:encode_re2g_predictions_common_myeloid_progenitor__CD34-positive_ENCSR281HBB_DNaseOnly	/experiments/ENCSR281HBB/
/annotations/ENCSR761IOH/	ENCSR761IOH	jesse-engreitz:abc_predictions_K562_ENCSR000EKR_DNaseOnly,jesse-engreitz:encode_re2g_predictions_K562_ENCSR000EKR_DNaseOnly	/experiments/ENCSR000EKR/
/annotations/ENCSR322YGO/	ENCSR322YGO	jesse-engreitz:abc_predictions_head_of_caudate_nucleus_ENCSR511PFY_DNaseOnly,jesse-engreitz:encode_re2g_predictions_head_of_caudate_nucleus_ENCSR511PFY_DNaseOnly	/experiments/ENCSR511PFY/
/annotations/ENCSR344DVS/	ENCSR344DVS	jesse-engreitz:abc_predictions_K562_ENCSR000EKN_DNaseOnly,jesse-engreitz:encode_re2g_predictions_K562_ENCSR000EKN_DNaseOnly	/experiments/ENCSR000EKN/
/annotations/ENCSR195EYQ/	ENCSR195EYQ	jesse-engreitz:abc_predictions_B_cell_ENCSR247IUJ_DNaseOnly,jesse-engreitz:encode_re2g_predictions_B_cell_ENCSR247IUJ_DNaseOnly	/experiments/ENCSR247IUJ/
/annotations/ENCSR728QKL/	ENCSR728QKL	jesse-engreitz:abc_predictions_RPMI8226_ENCSR594NOE_DNaseOnly,jesse-engreitz:encode_re2g_predictions_RPMI8226_ENCSR594NOE_DNaseOnly	/experiments/ENCSR594NOE/
